epoch	word_acc	length_acc	first_char_acc	second_char_acc	last_but_1_char_acc	last_char_acc
1	0.0	0.887	0.0	0.20903361344537816	0.12605042016806722	0.0021008403361344537
2	0.0	0.959	0.17857142857142858	0.20612244897959184	0.14489795918367346	0.004081632653061225
3	0.0	0.981	0.18571428571428572	0.2173469387755102	0.17346938775510204	0.05408163265306123
4	0.0	0.99	0.18597560975609756	0.23678861788617886	0.2459349593495935	0.24491869918699186
5	0.0	0.992	0.18781725888324874	0.24060913705583756	0.26802030456852793	0.5076142131979695
6	0.0	0.991	0.18984771573604062	0.24060913705583756	0.29035532994923857	0.583756345177665
7	0.0	0.995	0.18984771573604062	0.2436548223350254	0.3177664974619289	0.6436548223350254
8	0.0	0.996	0.19593908629441625	0.2416243654822335	0.3715736040609137	0.6954314720812182
9	0.0	0.995	0.21218274111675126	0.23756345177664975	0.449746192893401	0.7431472081218274
10	0.0	0.993	0.21116751269035533	0.24974619289340103	0.44263959390862945	0.7756345177664975
11	0.0	0.994	0.21421319796954313	0.24263959390862944	0.4883248730964467	0.7949238578680203
12	0.0	0.995	0.2131979695431472	0.25380710659898476	0.5269035532994923	0.8121827411167513
13	0.0	0.991	0.21421319796954313	0.25888324873096447	0.5532994923857868	0.8355329949238579
14	0.0	0.996	0.22131979695431472	0.2700507614213198	0.5756345177664974	0.8507614213197969
15	0.0	0.987	0.22842639593908629	0.28527918781725886	0.5969543147208122	0.848730964467005
16	0.0	0.681	0.22842639593908629	0.30761421319796955	0.37360406091370557	0.46294416243654823
17	0.0	0.996	0.24568527918781727	0.32284263959390863	0.6426395939086295	0.8822335025380711
18	0.003	0.986	0.25076142131979695	0.3238578680203046	0.6406091370558376	0.8751269035532995
19	0.002	0.995	0.26802030456852793	0.34822335025380713	0.6680203045685279	0.9055837563451776
20	0.002	0.997	0.2923857868020305	0.3725888324873096	0.6954314720812182	0.9197969543147209
21	0.003	1.0	0.3177664974619289	0.41624365482233505	0.7147208121827411	0.9228426395939087
22	0.006	0.994	0.3319796954314721	0.43959390862944164	0.7340101522842639	0.9269035532994924
23	0.011	0.996	0.3553299492385787	0.47918781725888326	0.7563451776649747	0.9309644670050762
24	0.01	0.997	0.38274111675126904	0.5055837563451777	0.7411167512690355	0.9248730964467005
25	0.013	0.997	0.4030456852791878	0.5350253807106599	0.7543147208121828	0.932994923857868
26	0.02	1.0	0.4355329949238579	0.5573604060913706	0.7756345177664975	0.9431472081218274
27	0.024	0.999	0.4619289340101523	0.5796954314720812	0.783756345177665	0.9401015228426396
28	0.029	1.0	0.4984771573604061	0.5857868020304569	0.798984771573604	0.9441624365482234
29	0.027	0.998	0.5279187817258884	0.6030456852791878	0.798984771573604	0.9411167512690355
30	0.034	0.996	0.5614213197969543	0.6152284263959391	0.8203045685279188	0.9472081218274112
31	0.044	0.997	0.582741116751269	0.6375634517766497	0.8213197969543147	0.9563451776649746
32	0.046	0.998	0.6182741116751269	0.6527918781725889	0.8314720812182741	0.9563451776649746
33	0.056	0.998	0.6629441624365482	0.6649746192893401	0.8294416243654822	0.9553299492385787
34	0.064	0.997	0.6913705583756345	0.667005076142132	0.8426395939086294	0.9573604060913705
35	0.07	0.995	0.7116751269035533	0.682233502538071	0.8467005076142132	0.9634517766497462
36	0.079	0.999	0.7370558375634517	0.7076142131979696	0.8507614213197969	0.9604060913705583
37	0.078	0.926	0.7543147208121828	0.7177664974619289	0.7847715736040609	0.9218274111675127
38	0.086	0.994	0.798984771573604	0.7411167512690355	0.8517766497461929	0.9553299492385787
39	0.046	0.965	0.4903553299492386	0.6304568527918781	0.7817258883248731	0.9096446700507614
40	0.097	0.997	0.8446700507614213	0.76751269035533	0.86497461928934	0.9614213197969543
41	0.101	0.998	0.8355329949238579	0.7766497461928934	0.8659898477157361	0.9644670050761421
42	0.112	0.991	0.8588832487309644	0.7878172588832487	0.8456852791878172	0.9401015228426396
43	0.11	0.697	0.8507614213197969	0.782741116751269	0.6730964467005076	0.7086294416243655
44	0.124	1.0	0.8903553299492386	0.8233502538071066	0.8751269035532995	0.9736040609137055
45	0.133	0.998	0.8944162436548223	0.8294416243654822	0.8741116751269036	0.9705583756345177
46	0.129	0.99	0.8751269035532995	0.8233502538071066	0.849746192893401	0.9543147208121827
47	0.141	0.996	0.9055837563451776	0.8365482233502538	0.8720812182741117	0.965482233502538
48	0.15	0.999	0.9096446700507614	0.8477157360406091	0.8761421319796955	0.9746192893401016
49	0.151	0.982	0.8944162436548223	0.8395939086294416	0.8010152284263959	0.8690355329949239
50	0.181	1.0	0.9187817258883249	0.8598984771573605	0.8802030456852792	0.9746192893401016
51	0.187	0.997	0.9248730964467005	0.86497461928934	0.8873096446700508	0.9736040609137055
52	0.205	0.998	0.9248730964467005	0.8812182741116751	0.8903553299492386	0.9776649746192894
53	0.196	0.969	0.9116751269035533	0.8771573604060914	0.8436548223350254	0.9512690355329949
54	0.234	0.998	0.9238578680203046	0.8893401015228426	0.8934010152284264	0.9756345177664975
55	0.236	0.999	0.9218274111675127	0.8883248730964467	0.8873096446700508	0.9756345177664975
56	0.249	0.998	0.9248730964467005	0.8913705583756345	0.8913705583756345	0.9786802030456853
57	0.245	0.995	0.932994923857868	0.8893401015228426	0.8862944162436548	0.9563451776649746
58	0.268	0.999	0.9309644670050762	0.899492385786802	0.9055837563451776	0.9817258883248731
59	0.283	0.998	0.9309644670050762	0.9055837563451776	0.9076142131979695	0.983756345177665
60	0.292	0.998	0.9360406091370559	0.9076142131979695	0.9055837563451776	0.9796954314720813
61	0.298	0.988	0.9421319796954315	0.9025380710659898	0.8923857868020305	0.950253807106599
62	0.301	1.0	0.9401015228426396	0.9045685279187817	0.9035532994923858	0.9827411167512691
63	0.321	0.999	0.9451776649746193	0.9096446700507614	0.9279187817258884	0.9756345177664975
64	0.324	0.999	0.9401015228426396	0.9218274111675127	0.9228426395939087	0.9847715736040609
65	0.341	0.999	0.9451776649746193	0.9208121827411168	0.9228426395939087	0.9847715736040609
66	0.342	0.999	0.949238578680203	0.9208121827411168	0.9248730964467005	0.9817258883248731
67	0.348	0.999	0.950253807106599	0.9269035532994924	0.9218274111675127	0.9857868020304569
68	0.363	0.998	0.9553299492385787	0.9370558375634518	0.9279187817258884	0.9817258883248731
69	0.365	0.999	0.9451776649746193	0.934010152284264	0.9238578680203046	0.9847715736040609
70	0.383	0.998	0.9482233502538071	0.934010152284264	0.9360406091370559	0.9817258883248731
71	0.388	1.0	0.9461928934010152	0.9411167512690355	0.9238578680203046	0.9888324873096447
72	0.404	1.0	0.9482233502538071	0.9431472081218274	0.9319796954314721	0.9898477157360406
73	0.401	1.0	0.950253807106599	0.9472081218274112	0.9350253807106599	0.9888324873096447
74	0.406	1.0	0.950253807106599	0.9431472081218274	0.9309644670050762	0.9868020304568528
75	0.422	1.0	0.9532994923857868	0.9401015228426396	0.9380710659898477	0.9888324873096447
76	0.443	1.0	0.9532994923857868	0.9441624365482234	0.9370558375634518	0.9868020304568528
77	0.447	1.0	0.9543147208121827	0.9411167512690355	0.9370558375634518	0.9868020304568528
